"amount","project_number","report_fy","budget_cycle","fund_type","fund_number","asset_owning_dept","project_name","account","account_number"
"72565217","AKB00003","11","adopted","Water Fund","C700011","Public Utilities","Water Main Replacements","Undistributed Budget","512117"
"2183998","S00003","11","adopted","Water Fund","C700011","Public Utilities","Torrey Pines Rd/La Jolla Blvd Main Repl","Undistributed Budget","512117"
"454603","S00019","11","adopted","Water Fund","C700011","Public Utilities","Harbor Drive Pipeline","Undistributed Budget","512117"
"1040000","S00030","11","adopted","Water Fund","C700011","Public Utilities","Otay WTP Upgrade & Expansion","Undistributed Budget","512117"
"1899999","S00050","11","adopted","Water Fund","C700011","Public Utilities","Water Department Security Upgrades","Undistributed Budget","512117"
"275176","S00083","11","adopted","Water Fund","C700011","Public Utilities","Miramar Pipeline Monitoring & Reinspection","Undistributed Budget","512117"
"698783","S10004","11","adopted","Water Fund","C700011","Public Utilities","Water Group Job 790","Undistributed Budget","512117"
"250000","S10010","11","adopted","Water Fund","C700011","Public Utilities","Recycled Water System Upgrades","Undistributed Budget","512117"
"758045","S10055","11","adopted","Water Fund","C700011","Public Utilities","Lindbergh Field 16"" CI Main Replacement","Undistributed Budget","512117"
"503289","S11021","11","adopted","Water Fund","C700011","Public Utilities","University Ave Pipeline Replacement","Undistributed Budget","512117"
"156000","S11022","11","adopted","Water Fund","C700011","Public Utilities","Upas St Pipeline Replacement","Undistributed Budget","512117"
"3000000","S11023","11","adopted","Water Fund","C700011","General Services","MOC Building","Undistributed Budget","512117"
"3640000","S11024","11","adopted","Water Fund","C700011","Public Utilities","Miramar Clearwell Improvements","Undistributed Budget","512117"
"2000000","S11025","11","adopted","Water Fund","C700011","Public Utilities","Chollas Building","Undistributed Budget","512117"
"246480","S11026","11","adopted","Water Fund","C700011","Public Utilities","Montezuma/Mid-City Pipeline Phase II","Undistributed Budget","512117"
"63250","S11027","11","adopted","Water Fund","C700011","Public Utilities","Otay 1st/2nd PPL Abandon E of Highland","Undistributed Budget","512117"
"7318316","S11100","11","adopted","Water Fund","C700011","Public Utilities","CIS ERP Implementation","Undistributed Budget","512117"
"850000","AAA00002","11","adopted","Airport Funds","C700028","Airport Management","Brown Field","Undistributed Budget","512117"
"950000","AAA00001","11","adopted","Airport Funds","C700030","Airport Management","Montgomery-Gibbs Executive Airport","Undistributed Budget","512117"
"250000","AFA00001","11","adopted","Refuse Disposal Fund","C700040","Environmental Services","Minor Improvements to Landfills","Undistributed Budget","512117"
"250000","AKC00001","11","adopted","Refuse Disposal Fund","C700040","Public Utilities","Groundwater Monitoring Network","Undistributed Budget","512117"
"60000","S00682","11","adopted","Refuse Disposal Fund","C700040","Environmental Services","Arizona St Landfill Closure & Mods","Undistributed Budget","512117"
"1700000","S00774","11","adopted","Refuse Disposal Fund","C700040","Environmental Services","West Miramar Landfill - Phase 2","Undistributed Budget","512117"
"40000","S00776","11","adopted","Refuse Disposal Fund","C700040","Environmental Services","South Chollas Landfill","Undistributed Budget","512117"
"300000","S01074","11","adopted","Refuse Disposal Fund","C700040","Environmental Services","West Miramar Refuse Disposal Fac Ph 2","Undistributed Budget","512117"
"75000","S01084","11","adopted","Refuse Disposal Fund","C700040","Environmental Services","Unclassified Disposal Site Closure","Undistributed Budget","512117"
"1750000","S01088","11","adopted","Refuse Disposal Fund","C700040","Environmental Services","Future Waste Mgmt Disposal & Pro Fac","Undistributed Budget","512117"
"300000","AEA00002","11","adopted","Golf Course Enterprise Fund","C700044","Parks & Recreation","Balboa Park Golf Course","Undistributed Budget","512117"
"2000000","S00632","11","adopted","Golf Course Enterprise Fund","C700044","Parks & Recreation","Balboa Park GC Irrigation System","Undistributed Budget","512117"
"300000","AEA00001","11","adopted","Golf Course Enterprise Fund","C700045","Parks & Recreation","Torrey Pines Golf Course","Undistributed Budget","512117"
"300000","AEA00003","11","adopted","Golf Course Enterprise Fund","C700046","Parks & Recreation","Mission Bay Golf Course","Undistributed Budget","512117"
"460000","S11010","11","adopted","Golf Course Enterprise Fund","C700046","Parks & Recreation","Mission Bay GC Renovation/Reconstruction","Undistributed Budget","512117"
"1363897","AIH00001","21","adopted","Infrastructure Fund","C100012","Transportation","Installation of City Owned Street Lights","Undistributed Budget","512117"
"1000000","AIH00002","21","adopted","Infrastructure Fund","C100012","Transportation","Street Light Circuit Upgrades","Undistributed Budget","512117"
"3300000","AIK00003","21","adopted","Infrastructure Fund","C100012","Transportation","Sidewalk Repair and Reconstruction","Undistributed Budget","512117"
"2000000","AID00005","21","adopted","Trench Cut/Excavation Fee Fund","C200203","Transportation","Resurfacing of City Streets","Undistributed Budget","512117"
"10000000","AID00001","21","adopted","Utilities Undergrounding Program Fund","C200218","Transportation","Utilities Undergrounding Program","Undistributed Budget","512117"
"250000","ABT00001","21","adopted","Other Funding","C200373","General Services","City Facilities Improvements","Undistributed Budget","512117"
"7900000","AGF00004","21","adopted","Mission Bay Park Improvement Fund","C200386","Parks & Recreation","Mission Bay Improvements","Undistributed Budget","512117"
"625000","ABT00001","21","adopted","San Diego Regional Parks Improvement Fund","C200391","General Services","City Facilities Improvements","Undistributed Budget","512117"
"450000","AGE00001","21","adopted","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Resource-Based Open Space Parks","Undistributed Budget","512117"
"1075000","AGF00005","21","adopted","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Regional Park Improvements","Undistributed Budget","512117"
"850000","AGF00006","21","adopted","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Coastal Erosion and Access","Undistributed Budget","512117"
"200000","S15035","21","adopted","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","EB Scripps Pk Comfort Station Replacement","Undistributed Budget","512117"
"1500000","P21001","21","adopted","Parking Meter Districts","C200489","Transportation","5th Avenue Promenade","Undistributed Budget","512117"
"18307570","AID00005","21","adopted","Gas Tax Fund","C200731","Transportation","Resurfacing of City Streets","Undistributed Budget","512117"
"800000","P21000","21","adopted","Facilities Benefit Assessments","C400085","Transportation","Carroll Canyon Road Planning Study","Undistributed Budget","512117"
"1000000","ACA00001","21","adopted","TransNet Funds","C400169","Stormwater","Drainage Projects","Undistributed Budget","512117"
"4065782","AID00005","21","adopted","TransNet Funds","C400169","Transportation","Resurfacing of City Streets","Undistributed Budget","512117"
"200000","AIE00001","21","adopted","TransNet Funds","C400169","Transportation","Bridge Rehabilitation","Undistributed Budget","512117"
"500000","AIG00001","21","adopted","TransNet Funds","C400169","Transportation","Median Installation","Undistributed Budget","512117"
"200000","AIH00001","21","adopted","TransNet Funds","C400169","Transportation","Installation of City Owned Street Lights","Undistributed Budget","512117"
"2500000","AIK00001","21","adopted","TransNet Funds","C400169","Transportation","New Walkways","Undistributed Budget","512117"
"500000","AIL00001","21","adopted","TransNet Funds","C400169","Transportation","Traffic Calming","Undistributed Budget","512117"
"1000000","AIL00004","21","adopted","TransNet Funds","C400169","Transportation","Traffic Signals - Citywide","Undistributed Budget","512117"
"1500000","AIL00005","21","adopted","TransNet Funds","C400169","Transportation","Traffic Signals Modification","Undistributed Budget","512117"
"4500000","S00951","21","adopted","TransNet Funds","C400169","Transportation","Coastal Rail Trail","Undistributed Budget","512117"
"2000000","S16061","21","adopted","TransNet Funds","C400169","Transportation","Market Street-47th to Euclid-Complete Street","Undistributed Budget","512117"
"625000","S18001","21","adopted","TransNet Funds","C400169","Transportation","University Avenue Complete Street Phase 1","Undistributed Budget","512117"
"547000","AGF00007","21","adopted","General Fund","C400265","Parks & Recreation","Park Improvements","Undistributed Budget","512117"
"300000","AID00005","21","adopted","Other Funding","C400633","Transportation","Resurfacing of City Streets","Undistributed Budget","512117"
"2800000","ABP00001","21","adopted","Sewer Funds","C700008","Public Utilities","Pump Station Restorations","Undistributed Budget","512117"
"55904294","AJA00001","21","adopted","Sewer Funds","C700008","Public Utilities","Sewer Main Replacements","Undistributed Budget","512117"
"11867986","AJA00002","21","adopted","Sewer Funds","C700008","Public Utilities","Pipeline Rehabilitation","Undistributed Budget","512117"
"6000000","AJB00001","21","adopted","Sewer Funds","C700008","Public Utilities","Metropolitan Waste Water Department Trunk Sewers","Undistributed Budget","512117"
"802750","ATT00002","21","adopted","Sewer Funds","C700008","Department of Information Technology","Enterprise Funded IT Projects","Undistributed Budget","512117"
"24660000","S15019","21","adopted","Sewer Funds","C700008","Public Utilities","Alvarado Trunk Sewer Phase IV","Undistributed Budget","512117"
"2000000","S15020","21","adopted","Sewer Funds","C700008","Public Utilities","Tecolote Canyon Trunk Sewer Improvement","Undistributed Budget","512117"
"4000000","S18006","21","adopted","Sewer Funds","C700008","Public Utilities","Harbor Drive Trunk Sewer","Undistributed Budget","512117"
"2000000","S20000","21","adopted","Sewer Funds","C700008","Public Utilities","Kearny Mesa Trunk Sewer","Undistributed Budget","512117"
"100000","S21002","21","adopted","Sewer Funds","C700008","Public Utilities","South Mission Valley Trunk Sewer Ph II","Undistributed Budget","512117"
"5639170","ABO00001","21","adopted","Sewer Funds","C700009","Public Utilities","Metro Treatment Plants","Undistributed Budget","512117"
"7208500","ATT00002","21","adopted","Sewer Funds","C700009","Department of Information Technology","Enterprise Funded IT Projects","Undistributed Budget","512117"
"12955568","S00312","21","adopted","Sewer Funds","C700009","Public Utilities","PS2 Power Reliability & Surge Protection","Undistributed Budget","512117"
"2012316","S00319","21","adopted","Sewer Funds","C700009","Public Utilities","EMTS Boat Dock Esplanade","Undistributed Budget","512117"
"300000","S00339","21","adopted","Sewer Funds","C700009","Public Utilities","MBC Dewatering Centrifuges Replacement","Undistributed Budget","512117"
"755291","S17012","21","adopted","Sewer Funds","C700009","Public Utilities","NCWRP Improvements to 30 mgd","Undistributed Budget","512117"
"1961315","S17013","21","adopted","Sewer Funds","C700009","Public Utilities","MBC Equipment Upgrades","Undistributed Budget","512117"
"800000","ABJ00001","21","adopted","Water Fund","C700010","Public Utilities","Water Pump Station Restoration","Undistributed Budget","512117"
"3261000","ABL00001","21","adopted","Water Fund","C700010","Public Utilities","Standpipe and Reservoir Rehabilitations","Undistributed Budget","512117"
"1200000","AKA00002","21","adopted","Water Fund","C700010","Public Utilities","Pressure Reduction Facility Upgrades","Undistributed Budget","512117"
"6558557","AKA00003","21","adopted","Water Fund","C700010","Public Utilities","Large Diameter Water Transmission PPL","Undistributed Budget","512117"
"78535744","AKB00003","21","adopted","Water Fund","C700010","Public Utilities","Water Main Replacements","Undistributed Budget","512117"
"441281","ATT00002","21","adopted","Water Fund","C700010","Department of Information Technology","Enterprise Funded IT Projects","Undistributed Budget","512117"
"1000000","S00050","21","adopted","Water Fund","C700010","Public Utilities","Water Department Security Upgrades","Undistributed Budget","512117"
"2000000","S10008","21","adopted","Water Fund","C700010","Public Utilities","El Monte Pipeline No 2","Undistributed Budget","512117"
"18000000","S11026","21","adopted","Water Fund","C700010","Public Utilities","Montezuma/Mid-City Pipeline Phase II","Undistributed Budget","512117"
"500000","S12009","21","adopted","Water Fund","C700010","Public Utilities","La Jolla Scenic Drive 16inch Main","Undistributed Budget","512117"
"1250000","S12010","21","adopted","Water Fund","C700010","Public Utilities","30th Street Pipeline Replacement","Undistributed Budget","512117"
"1200000","S12012","21","adopted","Water Fund","C700010","Public Utilities","Cielo & Woodman Pump Station","Undistributed Budget","512117"
"1656490","S12015","21","adopted","Water Fund","C700010","Public Utilities","Pacific Beach Pipeline South (W)","Undistributed Budget","512117"
"14627449","S12016","21","adopted","Water Fund","C700010","Public Utilities","Otay 1st/2nd PPL West of Highland Avenue","Undistributed Budget","512117"
"190000","S12040","21","adopted","Water Fund","C700010","Public Utilities","Tierrasanta (Via Dominique) Pump Station","Undistributed Budget","512117"
"200000","S15027","21","adopted","Water Fund","C700010","Public Utilities","La Jolla View Reservoir","Undistributed Budget","512117"
"15364419","S16027","21","adopted","Water Fund","C700010","Public Utilities","Morena Pipeline","Undistributed Budget","512117"
"5000000","S20001","21","adopted","Water Fund","C700010","Public Utilities","Otay 2nd Pipeline Phase 4","Undistributed Budget","512117"
"1000000","S20002","21","adopted","Water Fund","C700010","Public Utilities","University Heights Reservoir Rehabilitation","Undistributed Budget","512117"
"100000","S21000","21","adopted","Water Fund","C700010","Public Utilities","Otay 2nd Pipeline St Replacement Ph 5","Undistributed Budget","512117"
"500000","S21001","21","adopted","Water Fund","C700010","Public Utilities","Water SCADA Upgrade Phase I","Undistributed Budget","512117"
"3000000","S01090","21","adopted","Golf Course Enterprise Fund","C700046","Parks & Recreation","Mission Bay Golf Course Clubhouse Demo/Prtbl Building Instl","Undistributed Budget","512117"
"1073165","T19003","21","adopted","Other Funding","C700102","Citywide","Accela Implementation Phase 2","Undistributed Budget","512117"
"785000","AIL00005","25","adopted","Infrastructure Fund","C100012","Transportation","Traffic Signals Modification","Undistributed Budget","512117"
"1500000","ACC00001","25","adopted","General Fund - Other","C100015","Stormwater","Watershed CIP","Undistributed Budget","512117"
"675000","AIL00001","25","adopted","General Fund - Other","C100015","Transportation","Traffic Calming","Undistributed Budget","512117"
"425000","AIL00005","25","adopted","General Fund - Other","C100015","Transportation","Traffic Signals Modification","Undistributed Budget","512117"
"2470000","AID00005","25","adopted","Trench Cut/Excavation Fee Fund","C200203","Transportation","Resurfacing of City Streets","Undistributed Budget","512117"
"679264","S22011","25","adopted","Library System Improvement Fund","C200209","Library","Oak Park Library","Undistributed Budget","512117"
"66186","S22011","25","adopted","Library System Improvement Fund","C200369","Library","Oak Park Library","Undistributed Budget","512117"
"13708605","AGF00004","25","adopted","Mission Bay Park Improvement Fund","C200386","Parks & Recreation","Mission Bay Improvements","Undistributed Budget","512117"
"4400000","ABT00001","25","adopted","San Diego Regional Parks Improvement Fund","C200391","General Services","City Facilities Improvements","Undistributed Budget","512117"
"302000","AGE00001","25","adopted","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Resource-Based Open Space Parks","Undistributed Budget","512117"
"48000","AGF00007","25","adopted","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Park Improvements","Undistributed Budget","512117"
"484936","P23002","25","adopted","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Old Mission Dam Dredging","Undistributed Budget","512117"
"506954","S13008","25","adopted","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Mohnike Adobe and Barn Restoration","Undistributed Budget","512117"
"984792","S15034","25","adopted","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Junipero Serra Museum ADA Improvements","Undistributed Budget","512117"
"1000000","ATT00001","25","adopted","OneSD/ERP Funding","C200802","Department of Information Technology","Governmental Funded IT Projects","Undistributed Budget","512117"
"2960000","T25000","25","adopted","OneSD/ERP Funding","C200802","Department of Information Technology","SAP Modernization","Undistributed Budget","512117"
"146143","P24006","25","adopted","Facilities Benefit Assessments","C400083","Parks & Recreation","Penasquitos Creek NP Comfort Station","Undistributed Budget","512117"
"72794","AIL00004","25","adopted","Facilities Benefit Assessments","C400085","Transportation","Traffic Signals - Citywide","Undistributed Budget","512117"
"250000","S16036","25","adopted","Facilities Benefit Assessments","C400088","Parks & Recreation","Torrey Highlands NP Upgrades","Undistributed Budget","512117"
"1365","S16038","25","adopted","Facilities Benefit Assessments","C400088","Parks & Recreation","Carmel Grove NP Comfort Station and Park Improvements","Undistributed Budget","512117"
"4249635","S00856","25","adopted","Facilities Benefit Assessments","C400090","Transportation","El Camino Real to ViaDeLaValle (1/2 mile)","Undistributed Budget","512117"
"46956","S00784","25","adopted","Facilities Benefit Assessments","C400092","Fire-Rescue","Fire Station No. 49 - Otay Mesa","Undistributed Budget","512117"
"90794","S00784","25","adopted","Facilities Benefit Assessments","C400093","Fire-Rescue","Fire Station No. 49 - Otay Mesa","Undistributed Budget","512117"
"210853","L20000","25","adopted","Development Impact Fees","C400099","Parks & Recreation","Rancho Bernardo CP Improvements","Undistributed Budget","512117"
"1289","S00784","25","adopted","Development Impact Fees","C400100","Fire-Rescue","Fire Station No. 49 - Otay Mesa","Undistributed Budget","512117"
"31469","S00784","25","adopted","Development Impact Fees","C400102","Fire-Rescue","Fire Station No. 49 - Otay Mesa","Undistributed Budget","512117"
"2069","S10050","25","adopted","Development Impact Fees","C400110","Parks & Recreation","North Park Mini Park & Streetscape Improvements","Undistributed Budget","512117"
"597575","AIK00001","25","adopted","Development Impact Fees","C400112","Transportation","New Walkways","Undistributed Budget","512117"
"288000","AIL00004","25","adopted","Development Impact Fees","C400112","Transportation","Traffic Signals - Citywide","Undistributed Budget","512117"
"500000","S00915","25","adopted","Development Impact Fees","C400112","Transportation","University Avenue Mobility","Undistributed Budget","512117"
"155324","S10050","25","adopted","Development Impact Fees","C400112","Parks & Recreation","North Park Mini Park & Streetscape Improvements","Undistributed Budget","512117"
"156045","AIL00001","25","adopted","Development Impact Fees","C400115","Transportation","Traffic Calming","Undistributed Budget","512117"
"114999","AIL00005","25","adopted","Development Impact Fees","C400115","Transportation","Traffic Signals Modification","Undistributed Budget","512117"
"500000","P25001","25","adopted","Development Impact Fees","C400115","Stormwater","Pump Station C Assessment","Undistributed Budget","512117"
"3500000","ACA00001","25","adopted","Development Impact Fees","C400116","Stormwater","Drainage Projects","Undistributed Budget","512117"
"25000","AIL00001","25","adopted","Development Impact Fees","C400117","Transportation","Traffic Calming","Undistributed Budget","512117"
"53225","S16047","25","adopted","Development Impact Fees","C400118","Parks & Recreation","Canon Street Pocket Park","Undistributed Budget","512117"
"14959","AIK00001","25","adopted","Development Impact Fees","C400119","Transportation","New Walkways","Undistributed Budget","512117"
"44998","ACA00001","25","adopted","Development Impact Fees","C400121","Stormwater","Drainage Projects","Undistributed Budget","512117"
"110000","AIL00005","25","adopted","Development Impact Fees","C400121","Transportation","Traffic Signals Modification","Undistributed Budget","512117"
"800000","S16012","25","adopted","Development Impact Fees","C400122","Parks & Recreation","East Village Green Phase 1","Undistributed Budget","512117"
"128000","ACA00001","25","adopted","Development Impact Fees","C400123","Stormwater","Drainage Projects","Undistributed Budget","512117"
"19960","S22002","25","adopted","Development Impact Fees","C400125","Parks & Recreation","Southwest Neighborhood Park","Undistributed Budget","512117"
"48001","ACA00001","25","adopted","Development Impact Fees","C400127","Stormwater","Drainage Projects","Undistributed Budget","512117"
"190000","AIL00002","25","adopted","Development Impact Fees","C400127","Transportation","Install T/S Interconnect Systems","Undistributed Budget","512117"
"48305","AIL00005","25","adopted","Development Impact Fees","C400128","Transportation","Traffic Signals Modification","Undistributed Budget","512117"
"1500000","ACA00001","25","adopted","Development Impact Fees","C400129","Stormwater","Drainage Projects","Undistributed Budget","512117"
"400000","S15028","25","adopted","Development Impact Fees","C400129","Parks & Recreation","Olive Grove Community Park ADA Improve","Undistributed Budget","512117"
"25030","ACA00001","25","adopted","Development Impact Fees","C400133","Stormwater","Drainage Projects","Undistributed Budget","512117"
"51","AIA00001","25","adopted","Development Impact Fees","C400134","Transportation","Minor Bike Facilities","Undistributed Budget","512117"
"272789","AIA00001","25","adopted","TransNet Funds","C400169","Transportation","Minor Bike Facilities","Undistributed Budget","512117"
"16117852","AID00005","25","adopted","TransNet Funds","C400169","Transportation","Resurfacing of City Streets","Undistributed Budget","512117"
"333686","AIG00001","25","adopted","TransNet Funds","C400169","Transportation","Median Installation","Undistributed Budget","512117"
"226600","AIH00001","25","adopted","TransNet Funds","C400169","Transportation","Installation of City Owned Street Lights","Undistributed Budget","512117"
"790325","AIK00001","25","adopted","TransNet Funds","C400169","Transportation","New Walkways","Undistributed Budget","512117"
"146000","AIL00001","25","adopted","TransNet Funds","C400169","Transportation","Traffic Calming","Undistributed Budget","512117"
"1000000","AIL00002","25","adopted","TransNet Funds","C400169","Transportation","Install T/S Interconnect Systems","Undistributed Budget","512117"
"2880000","AIL00004","25","adopted","TransNet Funds","C400169","Transportation","Traffic Signals - Citywide","Undistributed Budget","512117"
"3476238","AIL00005","25","adopted","TransNet Funds","C400169","Transportation","Traffic Signals Modification","Undistributed Budget","512117"
"100000","AIE00002","25","adopted","Regional Transportation Congestion Improvement Program","C400174","Transportation","Guard Rails","Undistributed Budget","512117"
"2239339","S00869","25","adopted","Regional Transportation Congestion Improvement Program","C400174","Transportation","Palm Avenue Interstate 805 Interchange","Undistributed Budget","512117"
"688396","S00871","25","adopted","Regional Transportation Congestion Improvement Program","C400174","Transportation","W Mission Bay Dr Bridge Over SD River","Undistributed Budget","512117"
"50000","S00951","25","adopted","Regional Transportation Congestion Improvement Program","C400174","Transportation","Coastal Rail Trail","Undistributed Budget","512117"
"150000","AIH00001","25","adopted","General Fund","C400265","Transportation","Installation of City Owned Street Lights","Undistributed Budget","512117"
"2500000","L24002","25","adopted","General Fund","C400265","Homelessness Strategies and Solutions","Citywide Homeless Shelters","Undistributed Budget","512117"
"1000000","P24002","25","adopted","General Fund","C400265","Parks & Recreation","City Heights Urban Village/Henwood Park","Undistributed Budget","512117"
"1200000","S00800","25","adopted","General Fund","C400265","Library","San Carlos Branch Library","Undistributed Budget","512117"
"57857","AIG00001","25","adopted","Other Funding","C400633","Transportation","Median Installation","Undistributed Budget","512117"
"2191678","ACC00001","25","adopted","Fleet Services Internal Service Fund","C400676","Stormwater","Watershed CIP","Undistributed Budget","512117"
"382490","AID00007","25","adopted","Bus Stop Capital Improvement Fund","C400691","Transportation","Bus Stop Improvements","Undistributed Budget","512117"
"800000","S16034","25","adopted","Development Impact Fees","C400855","Parks & Recreation","Carmel Del Mar NP Comfort Station-Development","Undistributed Budget","512117"
"584337","S00869","25","adopted","Facilities Benefit Assessments","C400856","Transportation","Palm Avenue Interstate 805 Interchange","Undistributed Budget","512117"
"443303","RD22001","25","adopted","Development Impact Fees","C400857","Parks & Recreation","Dennery Ranch Neighborhood Park","Undistributed Budget","512117"
"329492","S00784","25","adopted","Development Impact Fees","C400857","Fire-Rescue","Fire Station No. 49 - Otay Mesa","Undistributed Budget","512117"
"400000","S23008","25","adopted","Development Impact Fees","C400857","Parks & Recreation","Beyer Park Development Phase II","Undistributed Budget","512117"
"100000","AGF00007","25","adopted","Development Impact Fees","C400864","Parks & Recreation","Park Improvements","Undistributed Budget","512117"
"488100","AIL00004","25","adopted","Development Impact Fees","C400864","Transportation","Traffic Signals - Citywide","Undistributed Budget","512117"
"50000","S16061","25","adopted","Development Impact Fees","C400864","Transportation","Market Street-47th to Euclid-Complete Street","Undistributed Budget","512117"
"500000","P19006","25","adopted","Enhanced Infrastructure Financing District Fund","C400870","Transportation","Siempre Viva Road Improvements","Undistributed Budget","512117"
"500000","P19007","25","adopted","Enhanced Infrastructure Financing District Fund","C400870","Transportation","Airway Road Improvements","Undistributed Budget","512117"
"4368165","RD22001","25","adopted","Enhanced Infrastructure Financing District Fund","C400870","Parks & Recreation","Dennery Ranch Neighborhood Park","Undistributed Budget","512117"
"1500000","S00784","25","adopted","Enhanced Infrastructure Financing District Fund","C400870","Fire-Rescue","Fire Station No. 49 - Otay Mesa","Undistributed Budget","512117"
"850000","S00995","25","adopted","Enhanced Infrastructure Financing District Fund","C400870","Parks & Recreation","Hidden Trails Neighborhood Park","Undistributed Budget","512117"
"1011168","ABT00001","25","adopted","Bond Financing","C400881","General Services","City Facilities Improvements","Undistributed Budget","512117"
"75185380","ACA00001","25","adopted","Bond Financing","C400881","Stormwater","Drainage Projects","Undistributed Budget","512117"
"562210","ACC00001","25","adopted","Bond Financing","C400881","Stormwater","Watershed CIP","Undistributed Budget","512117"
"189952","AFA00001","25","adopted","Bond Financing","C400881","Environmental Services","Minor Improvements to Landfills","Undistributed Budget","512117"
"800000","AGF00007","25","adopted","Bond Financing","C400881","Parks & Recreation","Park Improvements","Undistributed Budget","512117"
"79497149","AID00005","25","adopted","Bond Financing","C400881","Transportation","Resurfacing of City Streets","Undistributed Budget","512117"
"1554600","AIH00001","25","adopted","Bond Financing","C400881","Transportation","Installation of City Owned Street Lights","Undistributed Budget","512117"
"150000","AIH00002","25","adopted","Bond Financing","C400881","Transportation","Street Light Circuit Upgrades","Undistributed Budget","512117"
"3865812","AIK00003","25","adopted","Bond Financing","C400881","Transportation","Sidewalk Repair and Reconstruction","Undistributed Budget","512117"
"206700","AIL00001","25","adopted","Bond Financing","C400881","Transportation","Traffic Calming","Undistributed Budget","512117"
"1000000","L14002","25","adopted","Bond Financing","C400881","General Services","Fleet Operations Facilities","Undistributed Budget","512117"
"1000000","P25003","25","adopted","Bond Financing","C400881","General Services","Chollas Fleet Electrification Assessment","Undistributed Budget","512117"
"6500000","RD25000","25","adopted","Bond Financing","C400881","Transportation","University Ave Bikeway Pavement Repair","Undistributed Budget","512117"
"108340","S00752","25","adopted","Bond Financing","C400881","Parks & Recreation","Beyer Park Development","Undistributed Budget","512117"
"1596869","S00800","25","adopted","Bond Financing","C400881","Library","San Carlos Branch Library","Undistributed Budget","512117"
"3856037","S22002","25","adopted","Bond Financing","C400881","Parks & Recreation","Southwest Neighborhood Park","Undistributed Budget","512117"
"900000","P24008","25","adopted","Development Impact Fees","C400883","Parks & Recreation","South Clairemont CP Rec Cntr Renovation","Undistributed Budget","512117"
"900000","P24009","25","adopted","Development Impact Fees","C400883","Parks & Recreation","MLK Pool Improvements","Undistributed Budget","512117"
"251585","S10051","25","adopted","Development Impact Fees","C400883","Parks & Recreation","Olive St Park Acquisition and Development","Undistributed Budget","512117"
"99582","S16047","25","adopted","Development Impact Fees","C400883","Parks & Recreation","Canon Street Pocket Park","Undistributed Budget","512117"
"50000","S22004","25","adopted","Development Impact Fees","C400883","Parks & Recreation","John Baca Park","Undistributed Budget","512117"
"700000","ABT00001","25","adopted","Development Impact Fees","C400885","General Services","City Facilities Improvements","Undistributed Budget","512117"
"250000","P25000","25","adopted","Development Impact Fees","C400885","Fire-Rescue","OB Lifeguard Station Replacement Study","Undistributed Budget","512117"
"500000","S25000","25","adopted","Development Impact Fees","C400885","Fire-Rescue","BSU Lifeguard Locker Room Repl","Undistributed Budget","512117"
"120000","S10119","25","adopted","Development Impact Fees","C400886","Fire-Rescue","North Pacific Beach Lifeguard Station","Undistributed Budget","512117"
"290000","S00800","25","adopted","Development Impact Fees","C400887","Library","San Carlos Branch Library","Undistributed Budget","512117"
"892246","AIK00001","25","adopted","Development Impact Fees","C400888","Transportation","New Walkways","Undistributed Budget","512117"
"4582760","S18000","25","adopted","Development Impact Fees","C400888","Transportation","Streamview Drive Improvements Phase 2","Undistributed Budget","512117"
"6429550","S22012","25","adopted","Development Impact Fees","C400888","Transportation","Normal Street Promenade","Undistributed Budget","512117"
"1169949","RD23009","25","adopted","Development Impact Fees","C400890","Transportation","OM T-11.1 Caliente Avenue","Undistributed Budget","512117"
"2285855","S00869","25","adopted","Development Impact Fees","C400890","Transportation","Palm Avenue Interstate 805 Interchange","Undistributed Budget","512117"
"94196","S11060","25","adopted","Development Impact Fees","C400890","Transportation","Otay Mesa Truck Route Phase 4","Undistributed Budget","512117"
"1693198","AGF00007","25","adopted","Development Impact Fees","C400891","Parks & Recreation","Park Improvements","Undistributed Budget","512117"
"400000","P25002","25","adopted","Development Impact Fees","C400891","Parks & Recreation","Chollas Lake Drainage Study","Undistributed Budget","512117"
"500000","P25004","25","adopted","Development Impact Fees","C400891","Parks & Recreation","Southcrest Rec Center and Park Drainage","Undistributed Budget","512117"
"300000","S16013","25","adopted","Development Impact Fees","C400891","Parks & Recreation","Children's Park Improvements","Undistributed Budget","512117"
"629723","S22002","25","adopted","Development Impact Fees","C400891","Parks & Recreation","Southwest Neighborhood Park","Undistributed Budget","512117"
"460485","AGF00007","25","adopted","Development Impact Fees","C400892","Parks & Recreation","Park Improvements","Undistributed Budget","512117"
"1565719","L20000","25","adopted","Development Impact Fees","C400892","Parks & Recreation","Rancho Bernardo CP Improvements","Undistributed Budget","512117"
"2375618","S15040","25","adopted","Development Impact Fees","C400892","Parks & Recreation","Golf Course Drive Improvements","Undistributed Budget","512117"
